Common Name,,Scientific Name,,Order,Size,Date of discovery,(common) body of water,,,Depth in water,Fatal
Crystal Jellyfish,,Aequorea victoria,,chitinous colonial,10 in (25.4cm) in diameter,1902,"found from spring to autumn in the Pacific waters off the coast of North America, from the Bering Sea to southern California.",,,200 to 5000m (pelagic zone),No
Atolla Jellyfish,,Atolla wyvillei,,crown ,1-8 inches in diameter & 1.5in -12 ft in length,1880,All Over In the twilight zone , ,,"1,000- to 4,000 m",No
Deep Sea Crown Jellyfish,,Atolla Reynoldsi,,crown ,up to 5.1 in (13 cm) in diameter,2022,Monterey Bay (North east Pacific),,,"1,013, to 3,189 meters",No
Cauliflower Jellyfish,,Cephea cephea,,fused ,up to 60 cm in diameter,1775,"Indo-West Pacific: Eastern Atlantic and the Red Sea, north to Russia and east to Marquesas Islands",,,"over 3,000 ft (twilight zone)",No
Black sea nettle,,Chrysaora achlyos,,flag mouth,up to 3 feet (.9m) diameter & 20 feet (6m) length,1997,Mexico and coasts of Southern and Baja California ,,,Fall and winter: shallow harbors and bays Spring and summer: large swarms in deep ocean water,No
Enigmatic Bag Jellyfish,,Deepstaria enigmatica,,flag mouth,up to 60cm (2ft) body size,1967,Antarctic and near-Antarctic seas,,,"Around 3,000ft (910 m) ",No
Flower hat Jelly,,Olindias formosus,,non-chitinous colonial,up to 6in (15cm) in diameter,1903,"off southern Japan, Brazil and Argentina",,,35 to 55m,No
Psychedelic Jelly,,Crossota millsae,,ringed,up to 2.8cm (1in) in diameter,2003,North Pacific Ocean (from the Arctic Ocean and Caribbean Sea),,,"1,000-3,300m (midnight zone)",No
Nomura's Jellyfish,,Nemopilema nomurai,,fused ,up to 2m (6ft 7in) in diameter and 200kg (440 ibs),1922,Yellow Sea and East China Sea,,,Epipelagic zone,No
Deep Red Jellyfish,,Crossota norvegica,,ringed,up to 2cm in body size,1902,Arctic Ocean,,,Bathypelagic (below 1000m near the seafloor),No
Helmet jellyfish,,Periphylla periphylla,,crown jellyfish,18-35cm in diameter and up to 50cm (20in) in length,1810,all oceans except the arctic,,,up to 2700 meters (day-night migratory pattern),No
Sea gooseberry,,Pleurobrachia pileus,,rounded comb,1-2.5 cm with two 50cm long tenticles,1776,Northern Atlantic Ocean and alone the northwestern coasts of Europe (North Sea),,,Epipelagic zone (day-night migratory pattern in North Sea),No
Sea walnut,,Mnemiopsis leidyi,,lobed comb,7-12 cm (3-5 in) length and 2.5cm (1in) diameter,1865,"Altantic coast of North and South America, Black Sea, Azov, Marmara, Aegean Seas and Caspian Sea.",,,Coastal to deep sea Epipelagic - Hadal zone (0m-9000m),No
Venus girdle,,Cestum veneris,,belt,1m (40in) long & 5cm (2in) wide,1813,Mediterranean Sea,,,138.58m (sunlight to twilight zone),No
Bloody-belly comb jelly,,Lampocteis cruentiventer,,lobed comb,1.5 - 16 cm long & 1.2 - 10 cm wide,2001,"North Pacific Ocean (Canada to Baja California, Japan)",,,"250-1,500m (820-4,900 feet)",No
